Close,High,Low,Open,Volume,Volume_missing,ffill_volume,bfill_volume,interpolted_volume,Moving_avg_volume
63811.86328125,64355.66796875,61716.40234375,63419.296875,42847528078,42847528078.0,42847528078.0,42847528078.0,42847528078.0,45175921926.333336
61276.69140625,64486.36328125,59768.5859375,63831.84765625,41915247049,41915247049.0,41915247049.0,41915247049.0,41915247049.0,42786230927.0
63512.75390625,64125.6875,60833.48046875,61275.31640625,36006307335,36006307335.0,36006307335.0,36006307335.0,36006307335.0,40256360820.666664
63843.5703125,65481.59765625,59651.390625,63510.75,49920425401,49920425401.0,49920425401.0,49920425401.0,49920425401.0,42613993261.666664
64994.44140625,65442.45703125,63172.40234375,63851.1015625,23097485495,23097485495.0,23097485495.0,23097485495.0,23097485495.0,36341406077.0
64926.64453125,65723.2421875,64277.72265625,64992.81640625,20506644853,20506644853.0,20506644853.0,20506644853.0,20506644853.0,31174851916.333332
66837.6796875,67233.9609375,64548.1796875,64935.6328125,28282686673,28282686673.0,28282686673.0,28282686673.0,28282686673.0,23962272340.333332
66407.2734375,67199.2421875,65864.8671875,66839.890625,24310975583,24310975583.0,24310975583.0,24310975583.0,24310975583.0,24366769036.333332
64276.8984375,67075.3671875,63589.87109375,66408.71875,30276655120,30276655120.0,30276655120.0,30276655120.0,30276655120.0,27623439125.333332
64481.70703125,65275.20703125,62783.6328125,64275.01953125,32155786816,32155786816.0,32155786816.0,32155786816.0,32155786816.0,28914472506.333332
63755.3203125,64789.65625,63322.3984375,64485.37109375,24139372950,24139372950.0,24139372950.0,24139372950.0,24139372950.0,28857271628.666668
63419.140625,63898.36328125,62424.71875,63750.98828125,19530783039,19530783039.0,19530783039.0,19530783039.0,19530783039.0,25275314268.333332
63113.23046875,64321.484375,62793.59765625,63423.515625,17334827993,17334827993.0,17334827993.0,17334827993.0,17334827993.0,20334994660.666668
63841.12109375,64174.87890625,61795.45703125,63106.36328125,26635912073,26635912073.0,26635912073.0,26635912073.0,26635912073.0,21167174368.333332
60636.85546875,64703.33203125,59120.06640625,63839.41796875,37840840057,37840840057.0,37840840057.0,37840840057.0,37840840057.0,27270526707.666668
58254.01171875,60780.5,56555.29296875,60609.49609375,48439780271,48439780271.0,48439780271.0,48439780271.0,48439780271.0,37638844133.666664
59123.43359375,59602.296875,56937.203125,58253.703125,32711813559,32711813559.0,32711813559.0,32711813559.0,32711813559.0,39664144629.0
62889.8359375,63320.50390625,58848.3125,59122.30078125,33172023048,33172023048.0,33172023048.0,33172023048.0,33172023048.0,38107872292.666664
63891.47265625,64494.95703125,62599.3515625,62891.03125,20620477992,20620477992.0,20620477992.0,20620477992.0,20620477992.0,28834771533.0
64031.1328125,64610.890625,62955.3046875,63892.453125,18296164805,18296164805.0,18296164805.0,18296164805.0,18296164805.0,24029555281.666668
63161.94921875,65494.90234375,62746.23828125,64038.3125,28697928697,28697928697.0,28697928697.0,28697928697.0,28697928697.0,22538190498.0
62334.81640625,64390.45703125,62285.98046875,63162.76171875,25930730982,25930730982.0,25930730982.0,25930730982.0,25930730982.0,24308274828.0
61187.94140625,62986.0859375,60877.12890625,62332.640625,26088172222,26088172222.0,26088172222.0,26088172222.0,26088172222.0,26905610633.666668
63049.9609375,63404.9140625,60648.07421875,61191.19921875,25453338161,25453338161.0,25453338161.0,25453338161.0,25453338161.0,25824080455.0
60792.77734375,63446.7421875,60208.78125,63055.19140625,27804954694,27804954694.0,27804954694.0,27804954694.0,27804954694.0,26448821692.333332
60793.7109375,61451.15234375,60492.625,60793.35546875,13842272968,13842272968.0,13842272968.0,13842272968.0,13842272968.0,22366855274.333332
61448.39453125,61818.15625,60632.6015625,60793.50390625,13800459405,13800459405.0,13800459405.0,13800459405.0,13800459405.0,18482562355.666668
62901.44921875,63422.66015625,60769.83984375,61451.21875,27889181179,27889181179.0,27889181179.0,27889181179.0,27889181179.0,18510637850.666668
61552.7890625,63092.125,61123.765625,62900.7734375,28186271527,28186271527.0,28186271527.0,28186271527.0,28186271527.0,23291970703.666668
66267.4921875,66454.453125,61330.41015625,61553.98828125,39815167074,39815167074.0,39815167074.0,39815167074.0,39815167074.0,31963539926.666668
65231.58203125,66712.4296875,64613.0546875,66256.109375,31573077994,31573077994.0,31573077994.0,31573077994.0,31573077994.0,33191505531.666668
67051.875,67459.4609375,65119.31640625,65231.296875,28031279310,28031279310.0,28031279310.0,28031279310.0,28031279310.0,33139841459.333332
66940.8046875,67387.328125,66663.5,67066.2109375,16712277406,16712277406.0,16712277406.0,16712277406.0,16712277406.0,25438878236.666668
66278.3671875,67694.296875,65937.1796875,66937.9296875,19249094538,19249094538.0,19249094538.0,19249094538.0,19249094538.0,21330883751.333332
71448.1953125,71483.5625,66086.171875,66278.7421875,43850655717,43850655717.0,43850655717.0,43850655717.0,43850655717.0,26604009220.333332
70136.53125,71946.4609375,69191.125,71443.0625,46932005990,46932005990.0,46932005990.0,46932005990.0,46932005990.0,36677252081.666664
69122.3359375,70623.6953125,68977.6953125,70135.3203125,32802561717,32802561717.0,32802561717.0,32802561717.0,32802561717.0,41195074474.666664
