Close,High,Low,Open,Volume,CPIAUCSL,Inflation,Return,Real_return,Log_Return,rv
42992.25,43359.94140625,42890.80859375,43184.96484375,11169245236,310.967,0.0040975401843086345,-0.0044831659668692625,-0.008545689843640902,-0.004493245492150753,
42583.58203125,43097.64453125,42374.83203125,42994.94140625,14802225490,310.967,0.0040975401843086345,-0.009505619472114146,-0.013547647625872905,-0.009551086228745845,
42658.66796875,43494.25,42264.81640625,42577.62109375,18715487317,310.967,0.0040975401843086345,0.0017632602500394778,-0.0023247541606771227,0.0017617075316479283,
43084.671875,43344.1484375,42529.01953125,42657.390625,16798476726,310.967,0.0040975401843086345,0.009986338686479135,0.005864767382150582,0.009936804708699247,
44318.22265625,44341.94921875,42775.95703125,43090.01953125,21126587775,310.967,0.0040975401843086345,0.028630850081180936,0.024433193903023565,0.02822864621028068,
45301.56640625,45575.83984375,44332.125,44332.125,26154524080,310.967,0.0040975401843086345,0.022188248784866804,0.01801688369561938,0.021945671282114807,
47147.19921875,48152.49609375,45260.82421875,45297.3828125,39316770844,310.967,0.0040975401843086345,0.040741037427910465,0.03649396176876962,0.0399329954084116,
47771.27734375,48146.171875,46905.3203125,47153.52734375,16398681570,310.967,0.0040975401843086345,0.013236801662479536,0.00910196580751843,0.013149960695064189,
48293.91796875,48535.9375,47617.40625,47768.96875,19315867136,310.967,0.0040975401843086345,0.010940478338881565,0.006815013363459466,0.010881064258583886,
49958.22265625,50280.4765625,47745.76171875,48296.38671875,34511985805,310.967,0.0040975401843086345,0.034461993507690414,0.03024054148943356,0.03388147853165121,
49742.44140625,50358.390625,48406.49609375,49941.359375,35593051468,310.967,0.0040975401843086345,-0.004319233922406296,-0.008382426776157637,-0.004328588760117502,
51826.6953125,52021.37109375,49296.83203125,49733.4453125,39105608050,310.967,0.0040975401843086345,0.041900916949929146,0.037649108032553835,0.041046849510408934,
51938.5546875,52820.06640625,51371.62890625,51836.78515625,38564360533,310.967,0.0040975401843086345,0.0021583350882306007,-0.001931291551338754,0.0021560092291083846,
52160.203125,52537.96875,51641.3671875,51937.7265625,28180567298,310.967,0.0040975401843086345,0.004267512618200353,0.00016927880717698685,0.0042584326097615645,
51662.99609375,52191.9140625,50669.66796875,52161.67578125,20009091006,310.967,0.0040975401843086345,-0.009532306269177337,-0.013574225518951155,-0.00957802949778828,
